geometry,x,y
POINT (115.8555252 -33.3962356),115.85553,-33.39624
POINT (115.8594574 -33.3960782),115.85946,-33.39608
POINT (115.8594165 -33.3857073),115.85942,-33.38571
POINT (115.851303 -33.405496),115.8513,-33.4055
POINT (115.843432 -33.412853),115.84343,-33.41285
POINT (115.843329 -33.405127),115.84333,-33.40513
POINT (115.8490461 -33.4016927),115.84905,-33.40169
POINT (115.8419428 -33.4257792),115.84194,-33.42578
POINT (115.8434595 -33.4018355),115.84346,-33.40184
POINT (115.8308171 -33.4256106),115.83082,-33.42561
POINT (115.5977134 -33.5974197),115.59771,-33.59742
POINT (115.5980236 -33.5977929),115.59802,-33.59779
POINT (115.6216125 -33.6121654),115.62161,-33.61217
POINT (115.6030275 -33.5978572),115.60303,-33.59786
POINT (115.5565308 -33.6613021),115.55653,-33.6613
POINT (115.834768 -33.375249),115.83477,-33.37525
POINT (115.6935913 -33.4593944),115.69359,-33.45939
POINT (115.6320437 -33.513831),115.63204,-33.51383
POINT (115.6320175 -33.5127306),115.63202,-33.51273
POINT (115.6930798 -33.5137898),115.69308,-33.51379
POINT (115.6930682 -33.5240211),115.69307,-33.52402
POINT (115.6923565 -33.5467544),115.69236,-33.54675
POINT (115.6733337 -33.5594579),115.67333,-33.55946
POINT (115.693041 -33.5467537),115.69304,-33.54675
POINT (115.6894979 -33.5564478),115.6895,-33.55645
POINT (115.6613533 -33.4593351),115.66135,-33.45934
POINT (115.6613129 -33.4794012),115.66131,-33.4794
POINT (115.6363765 -33.3766865),115.63638,-33.37669
POINT (115.6341211 -33.4767046),115.63412,-33.4767
POINT (115.6403439 -33.4785879),115.64034,-33.47859
POINT (115.6930222 -33.4935689),115.69302,-33.49357
POINT (115.8370301 -33.4399984),115.83703,-33.44
POINT (115.8566928 -33.4484477),115.85669,-33.44845
POINT (115.6011704 -33.5741636),115.60117,-33.57416
POINT (115.8579956 -33.5002589),115.858,-33.50026
POINT (115.7444993 -33.5060811),115.7445,-33.50608
POINT (115.7378053 -33.5096829),115.73781,-33.50968
POINT (115.6986522 -33.3575062),115.69865,-33.35751
POINT (115.7001239 -33.3594419),115.70012,-33.35944
POINT (115.840895 -33.4417156),115.8409,-33.44172
POINT (115.7498892 -33.2732255),115.74989,-33.27323
POINT (115.7497304 -33.2730767),115.74973,-33.27308
POINT (115.8329049 -33.462127),115.8329,-33.46213
POINT (115.8766033 -33.563307),115.8766,-33.56331
POINT (115.868036 -33.5572172),115.86804,-33.55722
POINT (115.8958337 -33.5589539),115.89583,-33.55895
POINT (115.8668611 -33.5611148),115.86686,-33.56111
POINT (115.8037516 -33.5665622),115.80375,-33.56656
POINT (115.7798012 -33.9102735),115.7798,-33.91027
POINT (115.7849314 -33.9103217),115.78493,-33.91032
POINT (115.7977254 -33.8919989),115.79773,-33.892
POINT (115.8259808 -33.6262214),115.82598,-33.62622
POINT (115.4411194 -33.6851869),115.44112,-33.68519
POINT (115.5605508 -33.6624479),115.56055,-33.66245
POINT (115.8421194 -33.666915),115.84212,-33.66692
POINT (115.8014765 -33.6755964),115.80148,-33.6756
POINT (115.4398781 -33.7233291),115.43988,-33.72333
POINT (115.8135447 -33.6654141),115.81354,-33.66541
POINT (115.5631082 -34.095695),115.56311,-34.0957
POINT (115.5607625 -34.091949),115.56076,-34.09195
POINT (115.56091 -34.0957162),115.56091,-34.09572
POINT (115.5594053 -34.0986214),115.55941,-34.09862
POINT (115.5647162 -34.0912826),115.56472,-34.09128
POINT (115.5631202 -34.0942279),115.56312,-34.09423
POINT (115.7567836 -33.9750779),115.75678,-33.97508
POINT (115.7548906 -33.9834548),115.75489,-33.98345
POINT (115.739982 -33.9917334),115.73998,-33.99173
POINT (115.8538413 -34.0437369),115.85384,-34.04374
